iter	RMSE
0	18.96669563
1	18.4643174
2	17.99243083
3	17.53222748
4	17.07063438
5	16.62313906
6	16.182198
7	15.76909795
8	15.35966007
9	14.97365403
10	14.58267265
11	14.20926004
12	13.83662868
13	13.47265791
14	13.13277119
15	12.79958855
16	12.47010958
17	12.15347423
18	11.84345995
19	11.53877275
20	11.24682831
21	10.96211518
22	10.67761464
23	10.41365014
24	10.14751881
25	9.886359125
26	9.644172714
27	9.393473906
28	9.170512702
29	8.943743636
30	8.716387729
31	8.501231617
32	8.294542676
33	8.082593158
34	7.883662543
35	7.687588945
36	7.49655154
37	7.306138258
38	7.1241417
39	6.94788406
40	6.780666065
41	6.612122524
42	6.448471421
43	6.295162328
44	6.144265601
45	6.000795858
46	5.853770798
47	5.70957803
48	5.572802266
49	5.441017777
50	5.311817263
51	5.18796166
52	5.068768027
53	4.949721098
54	4.834960455
55	4.725779074
56	4.620022114
57	4.514288726
58	4.417023539
59	4.318136123
60	4.222045527
61	4.131250591
62	4.037504625
63	3.949600001
64	3.863591976
65	3.782907992
66	3.697111292
67	3.612984518
68	3.536492421
69	3.462249551
70	3.391363286
71	3.320543469
72	3.252121992
73	3.184222529
74	3.116789284
75	3.051655641
76	2.98836152
77	2.929368956
78	2.872167501
79	2.812649165
80	2.757892816
81	2.705893477
82	2.653871284
83	2.603724218
84	2.555571222
85	2.507058536
86	2.460419095
87	2.414058826
88	2.370497938
89	2.331005914
90	2.289272533
91	2.250036677
92	2.21179883
93	2.174400115
94	2.137777667
95	2.101534782
96	2.065594889
97	2.030815917
98	1.99720963
99	1.966224378
100	1.932768607
101	1.903221995
102	1.874287975
103	1.846726637
104	1.81944589
105	1.792087278
106	1.764842899
107	1.738049241
108	1.71360633
109	1.690083967
110	1.66678167
111	1.645087133
112	1.622859638
113	1.600774499
114	1.578895726
115	1.558934466
116	1.539771126
117	1.521096761
118	1.501623318
119	1.483433651
120	1.466065073
121	1.448713551
122	1.43183571
123	1.415700634
124	1.399834275
125	1.384129847
126	1.368218372
127	1.352213375
128	1.338698594
129	1.324641472
130	1.312270688
131	1.298738316
132	1.285746692
133	1.273298628
134	1.26104421
135	1.248851786
