iter	Passed	Remaining
0	185	185126
1	235	117397
2	284	94503
3	336	83683
4	385	76679
5	434	72013
6	476	67649
7	519	64459
8	563	62035
9	615	60946
10	663	59634
11	708	58320
12	749	56907
13	790	55679
14	836	54962
15	880	54171
16	929	53730
17	976	53292
18	1030	53219
19	1085	53166
20	1167	54430
21	1237	54995
22	1280	54413
23	1324	53867
24	1365	53266
25	1406	52703
26	1446	52110
27	1487	51622
28	1529	51225
29	1571	50812
30	1615	50495
31	1655	50092
32	1713	50217
33	1767	50209
34	1815	50063
35	1868	50029
36	1919	49956
37	1964	49732
38	2008	49492
39	2051	49240
40	2096	49032
41	2137	48748
42	2175	48423
43	2214	48123
44	2255	47861
45	2296	47626
46	2337	47404
47	2379	47188
48	2419	46956
49	2461	46772
50	2500	46525
51	2541	46336
52	2580	46112
53	2619	45887
54	2660	45717
55	2700	45524
56	2741	45347
57	2783	45211
58	2824	45055
59	2863	44858
60	2903	44692
61	2943	44526
62	2982	44365
63	3021	44190
64	3060	44017
65	3100	43873
66	3138	43698
67	3175	43528
68	3215	43383
69	3257	43274
70	3297	43141
71	3336	43007
72	3373	42841
73	3414	42722
74	3452	42586
75	3492	42458
76	3531	42327
77	3573	42243
78	3611	42107
79	3652	42006
80	3694	41921
81	3735	41816
82	3773	41695
83	3811	41560
84	3851	41464
85	3891	41362
86	3947	41430
87	3987	41323
88	4025	41202
89	4065	41109
90	4105	41005
91	4144	40907
92	4184	40807
93	4223	40710
94	4266	40646
95	4304	40535
96	4343	40431
97	4383	40342
98	4420	40231
99	4457	40116
100	4501	40070
101	4538	39958
102	4576	39855
103	4613	39749
104	4650	39642
105	4688	39545
106	4725	39437
107	4763	39341
108	4802	39253
109	4839	39157
110	4879	39079
111	4917	38987
112	4956	38907
113	4996	38830
114	5033	38739
115	5070	38638
116	5109	38561
117	5147	38478
118	5186	38398
119	5227	38333
120	5265	38251
121	5302	38159
122	5341	38088
123	5379	38005
124	5418	37932
125	5457	37859
126	5496	37780
127	5535	37710
128	5574	37640
129	5613	37570
130	5653	37505
131	5692	37432
132	5730	37353
133	5770	37289
134	5808	37219
135	5847	37147
136	5888	37091
137	5928	37033
138	5970	36980
139	6011	36925
140	6050	36859
141	6092	36809
142	6131	36745
143	6169	36673
144	6207	36603
145	6244	36528
146	6282	36456
147	6320	36384
148	6358	36318
149	6398	36257
150	6435	36186
151	6476	36132
152	6519	36090
153	6559	36032
154	6599	35978
155	6638	35915
156	6675	35844
157	6715	35785
158	6756	35739
159	6796	35680
160	6834	35617
161	6873	35553
162	6911	35488
163	6950	35428
164	6991	35379
165	7032	35331
166	7069	35264
167	7107	35200
168	7145	35136
169	7183	35071
170	7222	35012
171	7260	34951
172	7299	34894
173	7338	34838
174	7382	34801
175	7420	34742
176	7458	34682
177	7498	34627
178	7535	34560
179	7571	34492
180	7608	34428
181	7645	34363
182	7685	34311
183	7725	34262
184	7767	34217
185	7804	34154
186	7841	34090
187	7881	34042
188	7931	34036
189	7970	33980
190	8008	33921
191	8045	33856
192	8084	33805
193	8123	33748
194	8163	33698
195	8201	33644
196	8239	33587
197	8279	33535
198	8316	33475
199	8356	33426
200	8396	33377
201	8435	33322
202	8470	33256
203	8506	33190
204	8547	33147
205	8587	33097
206	8626	33047
207	8663	32987
208	8701	32932
209	8740	32880
210	8779	32829
211	8820	32785
212	8860	32738
213	8898	32684
214	8935	32623
215	8974	32575
216	9014	32526
217	9051	32468
218	9089	32415
219	9128	32364
220	9167	32313
221	9206	32263
222	9246	32215
223	9284	32165
224	9322	32111
225	9371	32095
226	9412	32053
227	9451	32003
228	9492	31961
229	9528	31900
230	9564	31841
231	9607	31803
232	9645	31751
233	9684	31701
234	9725	31660
235	9761	31601
236	9802	31557
237	9840	31506
238	9877	31450
239	9917	31405
240	9955	31354
241	9991	31297
242	10031	31249
